REGION,SETTLEMENTDATE,TOTALDEMAND,RRP,PERIODTYPE
TAS1,2019/01/03 02:30:00,983.48,95.80,TRADE
TAS1,2019/01/03 03:00:00,977.71,96.12,TRADE
TAS1,2019/01/03 03:30:00,971.96,96.35,TRADE
TAS1,2019/01/03 04:00:00,999.17,97.22,TRADE
TAS1,2019/01/03 04:30:00,1022.24,97.27,TRADE
TAS1,2019/01/03 05:00:00,1015.67,95.76,TRADE
TAS1,2019/01/03 05:30:00,1055.61,97.04,TRADE
TAS1,2019/01/03 06:00:00,1052.43,93.73,TRADE
TAS1,2019/01/03 06:30:00,1070.99,94.25,TRADE
TAS1,2019/01/03 07:00:00,1079.74,98.70,TRADE
TAS1,2019/01/03 07:30:00,1048.37,92.40,TRADE
TAS1,2019/01/03 08:00:00,1046.33,94.03,TRADE
TAS1,2019/01/03 08:30:00,1026.34,99.71,TRADE
TAS1,2019/01/03 09:00:00,1041.5,93.75,TRADE
TAS1,2019/01/03 09:30:00,1023.65,93.07,TRADE
TAS1,2019/01/03 10:00:00,1013.32,94.08,TRADE
TAS1,2019/01/03 10:30:00,1028.92,93.75,TRADE
TAS1,2019/01/03 11:00:00,1035.37,94.29,TRADE
TAS1,2019/01/03 11:30:00,1021.35,93.41,TRADE
TAS1,2019/01/03 12:00:00,1018.81,96,TRADE
TAS1,2019/01/03 12:30:00,1009.49,92.74,TRADE
TAS1,2019/01/03 13:00:00,1032.59,77.65,TRADE
TAS1,2019/01/03 13:30:00,1057.17,94.71,TRADE
TAS1,2019/01/03 14:00:00,1065.1,105.38,TRADE
TAS1,2019/01/03 14:30:00,1073.93,112.81,TRADE
TAS1,2019/01/03 15:00:00,1068.07,118.95,TRADE
TAS1,2019/01/03 15:30:00,1084.52,114.03,TRADE
TAS1,2019/01/03 16:00:00,1092.67,156.44,TRADE
TAS1,2019/01/03 16:30:00,1114.09,110.72,TRADE
TAS1,2019/01/03 17:00:00,1122.9,152.46,TRADE
TAS1,2019/01/03 17:30:00,1130.7,184.85,TRADE
TAS1,2019/01/03 18:00:00,1141.23,229.64,TRADE
TAS1,2019/01/03 18:30:00,1142.47,260.34,TRADE
TAS1,2019/01/03 19:00:00,1156.85,274.48,TRADE
TAS1,2019/01/03 19:30:00,1147.05,256.60,TRADE
TAS1,2019/01/03 20:00:00,1155.98,155.51,TRADE
TAS1,2019/01/03 20:30:00,1148.47,104.84,TRADE
TAS1,2019/01/03 21:00:00,1121.47,110.35,TRADE
TAS1,2019/01/03 21:30:00,1089.86,100.97,TRADE
TAS1,2019/01/03 22:00:00,1080.84,185.83,TRADE
TAS1,2019/01/03 22:30:00,1036.72,92.63,TRADE
TAS1,2019/01/03 23:00:00,976.43,103.66,TRADE
TAS1,2019/01/03 23:30:00,965.75,186.49,TRADE
TAS1,2019/01/04 00:00:00,963.7,180.13,TRADE
TAS1,2019/01/04 00:30:00,948.36,96.38,TRADE
TAS1,2019/01/04 01:00:00,914.28,77.61,TRADE
TAS1,2019/01/04 01:30:00,901.26,75.20,TRADE
TAS1,2019/01/04 02:00:00,894.62,92.40,TRADE
TAS1,2019/01/04 02:30:00,892.06,96.18,TRADE
TAS1,2019/01/04 03:00:00,899.06,97.35,TRADE
TAS1,2019/01/04 03:30:00,902.43,106,TRADE
TAS1,2019/01/04 04:00:00,905.33,104.82,TRADE
TAS1,2019/01/04 04:30:00,918.55,110.48,TRADE
TAS1,2019/01/04 05:00:00,919.87,116.26,TRADE
TAS1,2019/01/04 05:30:00,956.22,169.81,TRADE
TAS1,2019/01/04 06:00:00,980.21,103.68,TRADE
TAS1,2019/01/04 06:30:00,1015.43,101.47,TRADE
TAS1,2019/01/04 07:00:00,1037.19,102.13,TRADE
TAS1,2019/01/04 07:30:00,1048.34,101.61,TRADE
TAS1,2019/01/04 08:00:00,1055.97,105.40,TRADE
TAS1,2019/01/04 08:30:00,1087.02,105.50,TRADE
TAS1,2019/01/04 09:00:00,1079.28,108.19,TRADE
TAS1,2019/01/04 09:30:00,1072.02,120.45,TRADE
TAS1,2019/01/04 10:00:00,1069.69,110.18,TRADE
TAS1,2019/01/04 10:30:00,1054.31,108.04,TRADE
TAS1,2019/01/04 11:00:00,1079.69,115.63,TRADE
TAS1,2019/01/04 11:30:00,1101.05,126.45,TRADE
TAS1,2019/01/04 12:00:00,1114.81,215.79,TRADE
TAS1,2019/01/04 12:30:00,1149.54,244.32,TRADE
